#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-04-28T15:02:45 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ644bdffe11d3b8	
#INFO	-out.max=99999	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=99999
#-nav=cat:VIII/99&tab:{VIII/99/radio}&key:source=VIII/99/radio&HTTPPRM:&
#-source=VIII/99/radio
#-order=I
#-out=Seq
#-out=Freq
#-out=l_Smax
#-out=Smax
#-out=l_Smin
#-out=Smin
#-out=r_Smax
#-out=Notes
#

#RESOURCE=yCat_8099
#Name: VIII/99
#Title: Catalogue of Radio Stars (Wendker, 2001)
#Table	VIII_99_radio:
#Name: VIII/99/radio
#Title: Radio data
#Column	Seq	(I4)	[1/3699] Star number, as in file "stars"	[ucd=meta.record]
#Column	Freq	(I6)	Frequency of radio measurement	[ucd=em.freq]
#Column	l_Smax	(A1)	Limit flag on Smax	[ucd=meta.code.error]
#Column	Smax	(F10.3)	Maximum Flux at Freq	[ucd=phot.flux.density;em.radio]
#Column	l_Smin	(A1)	Limit flag on Smin	[ucd=meta.code.error]
#Column	Smin	(F10.3)	Minimum Flux at Freq	[ucd=phot.flux.density;em.radio]
#Column	r_Smax	(I4)	? Reference of Fluxes (details in "refs.dat") [NULL integer written as an empty string]	[ucd=meta.ref;pos.frame]
#Column	Notes	(a56)	Remarks and notes about the radio flux	[ucd=meta.note]
Seq	Freq	l_Smax	Smax	l_Smin	Smin	r_Smax	Notes
3198	  4860	 	     0.400	 	     0.000	 622	  11/84-02/86;
3198	  4885	<	     0.200	 	     0.000	 738	  09/84;
3199	 31000	<	   110.000	 	     0.000	 293	  01/77;
3199	240000	<	    60.000	 	     0.000	1298	  03/96-02/97;
3200	  1418	 	    13.100	 	     0.000	 554	  05/83;
3201	275000	 	    44.000	 	     0.000	 970	  09/90;
3201	375000	 	    92.000	 	     0.000	 970	  09/90;
3202	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
3202	  4885	<	     0.360	 	     0.000	 487	  08/83-03/84;
3203	  1418	<	     0.500	 	     0.000	 554	  05/83;
3204	  4885	<	     0.210	 	     0.000	1001	  01-04/92;
3205	  4860	<	     0.430	 	     0.000	 692	  /?;
3206	  2700	<	    15.000	 	     0.000	 351	  04/74-06/78;
3206	  4885	 	     2.550	 	     0.000	 736	  10/86; slightly extended;
3206	  8100	<	    15.000	 	     0.000	 351	  04/74-06/78;
3206	  8440	 	     0.800	 	     0.000	 794	  09/83; size <0.3";
3206	 10600	<	    27.000	 	     0.000	 351	  72-79;
3206	 10690	<	     5.000	 	     0.000	 155	  05/73;
3206	 31000	<	   180.000	 	     0.000	 293	  10/76;
3206	240000	 	   120.000	 	     0.000	1298	  03/96-02/97;
3207	 14965	<	     1.700	 	     0.000	 703	  09/86-04/87;
3208	  4860	<	     0.400	 	     0.000	 622	  11/84-02/86;
3208	  4885	<	     0.510	 	     0.000	 738	  11/84;
3209	  8400	<	     0.260	 	     0.000	1040	  11/93;
3210	 23000	 	     5.500	 	     0.000	 368	  10/80;
3210	250000	<	    32.000	 	     0.000	 950	  12/86-01/87;
3211	  4885	 	     0.340	 	     0.140	 706	  2 obs. 10/87;
3211	  4885	<	     0.120	 	     0.000	 519	  12/83;
3211	  5000	<	     1.800	<	     2.700	 669	  08-09/86-07/87;
3212	  4860	<	     2.000	 	     0.000	 622	  11/84-02/86;
3212	  4885	<	     2.000	 	     0.000	 470	  10/83;
3212	  4885	 	     3.590	 	     0.500	 738	  2 obs. 06-11/84; part in (503); same in (889);
3212	  8400	 	    10.300	 	     9.600	 617	  18 obs. 81-84; 2nd value: (617) only lists the median;
3213	250000	<	     9.000	 	     0.000	 950	  12/87-01/88;
3214	 14500	<	    15.000	 	     0.000	 244	  /77;
3215	  8400	<	     0.220	<	     0.350	1040	  2 obs. 08-11/93;
3216	  5000	<	    10.000	 	     0.000	 220	  10-11/76;
3217	  2700	<	    15.000	 	     0.000	 351	  04/74-06/78;
3217	  4885	 	     6.000	 	     0.000	 826	  03/85;
3217	  8100	<	    15.000	 	     0.000	 351	  04/74-06/78;
3217	 10600	<	    24.000	 	     0.000	 351	  72-79;
3217	 10690	<	     5.000	 	     0.000	 155	  07/73;
3218	  8400	<	     5.000	 	     0.000	 714	  11 obs. 02/87-07/88;
3219	   960	<	   650.000	 	     0.000	1392	  03-04/97;
3219	  2300	<	    40.000	 	     0.000	1392	  03-04/97;
3219	  3900	<	    14.000	 	     0.000	1392	  03-04/97;
3219	  7700	<	    30.000	 	     0.000	1392	  03-04/97;
3219	 11200	<	    30.000	 	     0.000	1392	  03-04/97;
3219	 21700	<	   140.000	 	     0.000	1392	  03-04/97;
3220	  4885	<	     0.400	 	     0.000	 826	  12/84;
3221	  8400	<	     8.100	 	     0.000	 617	  4 obs. 81-84;
3222	   408	<	     6.000	 	     0.000	1328	  12/94; MERLIN
3222	  1415	 	     6.200	 	     2.600	 234	  4 obs. 06-07/77;
3222	  1465	 	    19.000	 	     0.000	 432	  02/82;
3222	  1658	 	    25.000	 	     0.000	1078	  10/93; MERLIN map; total flux estimated from map;
3222	  1658	 	    20.000	 	    13.000	1328	  2 obs. 12/95-04/97; MERLIN maps;
3222	  2290	<	    43.000	 	     0.000	 549	  2 obs. 06-07/82;
3222	  2380	 	    19.000	 	     0.000	 437	  05/80-06/82; unresolved with interferometer;
3222	  2700	 	    11.000	 	     0.000	 351	  04/74-06/78;
3222	  2700	 	    13.000	 	    11.000	 426	  2 obs. 05/77-05/78;
3222	  4850	 	    61.000	 	     0.000	 809	  10/87; same data in (825);
3222	  4885	 	    33.200	 	    14.000	 426	  3 obs. 07/77-03/80;
3222	  4885	 	    45.000	 	     0.000	 432	  02/82;
3222	  4885	 	    51.000	 	     0.000	 495	  10/83;
3222	  4885	 	    56.000	 	     0.000	1023	  08/91; resolved;
3222	  4995	 	    54.600	 	     0.000	 798	  10/88;
3222	  4995	 	    36.000	 	    24.000	1328	  6 obs. 08/90-02/97; MERLIN and VLA maps;
3222	  5000	 	    14.000	 	     0.000	 244	  12/77;
3222	  5000	 	    15.000	 	     0.000	 351	  74-78;
3222	  5008	 	    48.000	 	     0.000	1078	  10/93; MERLIN map;
3222	  8100	 	    27.000	 	     0.000	 351	  04/74;
3222	  8100	 	    34.000	 	    32.000	 426	  2 obs. 05/77-05/78;
3222	  8420	 	    75.000	 	    68.000	 549	  2 obs. 06-07/82;
3222	  8440	 	    99.600	 	     0.000	 956	  05/91;
3222	 10500	 	    42.000	<	    20.000	 202	  3 obs. 11/76-05/77;
3222	 10500	 	    42.000	 	     0.000	 208	  2 obs. 05-06/77;
3222	 10600	 	    41.000	 	     0.000	 351	  72-79;
3222	 10600	 	    93.000	 	    41.000	 426	  23 obs. 04/77-12/80;
3222	 14500	 	    57.000	 	     0.000	 244	  /77;
3222	 14500	 	    57.000	 	     0.000	 351	  75-79;
3222	 15000	 	    41.000	 	     0.000	 234	  05/77;
3222	 15000	 	    99.000	 	    41.000	 426	  5 obs. 06/77-03/80;
3222	 15000	 	   130.000	 	     0.000	 432	  02/82;
3222	 22200	 	   129.000	 	     0.000	 351	  75-79;
3222	 22500	 	   150.000	 	     0.000	 432	  02/82;
3222	 22500	 	   134.000	 	   124.000	1328	  2 obs. 04/94-11/96; VLA maps;
3222	 23400	 	   122.000	 	   105.000	 426	  2 obs. 06/78-03/79;
3222	 36000	 	   248.000	 	     0.000	 999	  2 obs. 03-04/87;
3222	 87750	 	   194.000	 	     0.000	1051	  11/93;
3222	 90000	 	   319.000	 	     0.000	 950	  01/87;
3222	150000	 	   214.000	 	     0.000	 879	  06/91;
3222	230000	 	   174.000	 	     0.000	 879	  06/91;
3222	250000	 	   309.000	 	     0.000	 950	  3 obs.12/86-03/89;
3222	275000	 	   197.000	 	     0.000	 879	  05/91;
3222	375000	 	   218.000	 	     0.000	 879	  05/91;
3223	230000	 	   116.000	 	     0.000	 940	  08/90-09/91;
3224	  2700	<	    50.000	 	     0.000	 351	  04/74-06/78;
3224	  4885	<	     0.400	 	     0.000	 826	  03/85;
3224	  8100	<	    20.000	 	     0.000	 351	  04/74-06/78;
3224	 10600	<	    33.000	 	     0.000	 351	  72-79;
3224	 10690	<	    15.000	 	     0.000	 155	  07/73;
3225	230000	<	    16.000	 	     0.000	 821	  03/90;
3226	  4885	<	     0.560	 	     0.000	 745	  02/85;
3226	  4995	<	     1.130	 	     0.000	 798	  10/88;
3226	  8440	 	     0.200	 	     0.000	 956	  11/89;
3226	 10600	<	    18.000	 	     0.000	 351	  72-79;
3226	 14500	<	    15.000	 	     0.000	 244	  /77; same data in (351);
3227	  4885	<	     0.180	 	     0.000	 524	  01/83-06/85;
3227	250000	 	    13.000	 	     0.000	 950	  03/89;
3228	  1465	<	     1.520	 	     0.000	 600	  01/86;
3229	  4885	<	     0.600	 	     0.000	 436	  08/82;
3229	  8440	 	     0.120	<	     0.072	1088	  2 obs. 04/92-06/94;
3230	 10500	<	    15.000	 	     0.000	 210	  08/75;
3231	 10500	<	    20.000	 	     0.000	 210	  08/75;
3232	 10600	<	    30.000	 	     0.000	 351	  72-79;
3233	  4860	<	     0.100	 	     0.000	 778	  05/88;
3233	  4885	<	     0.220	 	     0.000	 761	  08/87;
3233	 14965	<	     0.420	 	     0.000	 761	  08/87;
3234	  4885	<	     0.420	 	     0.000	 458	  02/82; same data in (745);
3234	  4885	 	     1.920	 	     0.000	 698	  10/87;
3234	  4995	<	     1.080	 	     0.000	 798	  10/88;
3234	  8440	 	     2.470	 	     0.000	 956	  10/89;
3234	 10600	<	    25.000	 	     0.000	 203	  10/73;
3234	 10600	<	    33.000	 	     0.000	 351	  72-79;
3234	 10690	<	     5.000	 	     0.000	 155	  06/73;
3234	 87750	<	     7.100	 	     0.000	1051	  04/94;
3235	  8400	<	     5.100	 	     0.000	 617	  9 obs. 81-84;
3236	  4885	<	     0.300	 	     0.000	 425	  10/81;
3236	  4885	<	     0.090	 	     0.000	 609	  03/84;
3236	  8400	<	     0.310	 	     0.000	 800	  02/89;
3236	  8440	 	     0.270	 	     0.000	1112	  09/90-05/91?; same data in (1202);
3236	 14940	 	     0.790	 	     0.000	1112	  09/90-05/91?; same data in (1202);
3236	 20000	<	    24.000	 	     0.000	 713	  08/84;
3236	 22400	 	     1.620	 	     0.000	1112	  09/90-05/91?; same data in (1202);
3236	 90000	<	   100.000	 	     0.000	 183	  12/75;
3236	230000	 	    67.500	 	     0.000	 821	  03/90;
3236	250000	 	   106.000	 	     0.000	 950	  03/89;
3237	  4860	<	     0.480	 	     0.000	 692	  /?;
3238	230000	 	    11.700	 	     0.000	 821	  03/90;
3239	 10500	<	    20.000	 	     0.000	 210	  08/75;
3239	250000	<	    22.000	 	     0.000	 950	  12/86-01/87;
3240	  4860	<	     0.135	 	     0.000	 651	  08/86;
3240	250000	<	    18.000	 	     0.000	 950	  12/86-01/87;
3241	230000	<	    24.000	 	     0.000	1129	  03/93;
3241	275000	<	    40.000	 	     0.000	1006	  05/91;
3241	375000	<	    60.000	 	     0.000	1006	  05/91;
3242	 14965	<	     1.700	 	     0.000	 703	  09/86-04/87;
3243	   960	<	   240.000	 	     0.000	1392	  03-04/97;
3243	  2300	<	    70.000	 	     0.000	1392	  03-04/97;
3243	  3900	<	    14.000	 	     0.000	1392	  03-04/97;
3243	  7700	<	    40.000	 	     0.000	1392	  03-04/97;
3243	 11200	<	    40.000	 	     0.000	1392	  03-04/97;
3243	 21700	<	   160.000	 	     0.000	1392	  03-04/97;
3244	  1490	 	     0.700	 	     0.000	 915	  06/89;
3244	  4800	 	     3.000	<	     0.200	1325	  04/95; monitored 42 hours;eclipsing radio light curve;
3244	  4885	 	     3.050	 	     0.000	 823	  06/89; same data in (915);
3244	  8400	 	    11.200	 	     9.100	 617	  9 obs. 81-84; 2nd value: (617) only lists the median;
3244	  8400	 	    11.200	 	     9.100	 705	  14 obs.; update of (617); 2nd value is listed median;
3244	  8400	 	     2.900	 	     0.000	 915	  06/89;
3244	  8640	 	     2.500	<	     0.300	1325	  04/95; monitored 42 hours;eclipsing radio light curve;
3244	 10690	<	     5.000	 	     0.000	 155	  06/73;
3244	 22500	<	    80.000	 	     0.000	 563	  02/78;
3245	   960	<	   450.000	 	     0.000	1392	  03-04/97;
3245	  1465	<	     2.000	 	     0.000	 463	  03/83;
3245	  2300	<	    40.000	 	     0.000	1392	  03-04/97;
3245	  3900	<	    15.000	 	     0.000	1392	  03-04/97;
3245	  4885	<	     0.700	 	     0.000	 463	  03/83;
3245	  7700	<	    30.000	 	     0.000	1392	  03-04/97;
3245	 10650	<	   415.000	 	     0.000	 463	  02/83;
3245	 11200	<	    20.000	 	     0.000	1392	  03-04/97;
3245	 14965	<	     2.600	 	     0.000	 463	  03/83;
3245	 21700	<	    80.000	 	     0.000	1392	  03-04/97;
3246	  4885	<	     0.200	 	     0.000	 706	  10/87;
3246	  5000	<	     2.100	 	     0.000	 669	  08-09/86;
3247	  1400	<	     0.600	 	     0.000	1161	  02/94;
3248	   843	<	     1.000	 	     0.000	 855	  10/87-02/89;
3248	  4800	<	     0.900	 	     0.000	 855	  04/90-05/91;
3248	  8400	 	    22.000	<	     4.000	 714	  8 obs. 02/87-07/88;
3249	  1465	<	     0.310	 	     0.000	 579	  07/86; same data in (737); both comp.;
3249	  4885	<	     0.310	 	     0.000	 579	  07/86; same data in (737); both comp.;
3250	  5000	<	     2.100	 	     0.000	 669	  08-09/86;
3251	  5000	<	     3.600	 	     0.000	 669	  08-09/86;
3252	  5000	<	     8.000	 	     0.000	 220	  10-11/76;
3253	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
3254	  2700	<	    15.000	 	     0.000	 351	  04/74-06/78;
3254	  8100	<	    15.000	 	     0.000	 351	  04/74-06/78;
3254	 10600	<	    25.000	 	     0.000	 203	  05/73-03/74;
3254	 10600	<	    30.000	 	     0.000	 351	  72-79;
3254	 10690	<	    10.000	 	     0.000	 155	  07/73;
3254	 22500	<	    45.000	 	     0.000	 563	  02/78;
3255	  1415	 	    33.000	 	     0.000	  76	  /71;
3255	 31400	<	  1500.000	 	     0.000	 121	  01-02/73;
3255	 85300	<	  3000.000	 	     0.000	 121	  01-02/73;
3255	250000	<	    15.000	 	     0.000	 950	  12/87-01/88;
3256	  1400	 	    17.000	 	     0.000	 155	  12/73;
3256	  1465	 	    18.000	 	     0.000	 376	  12/79;
3256	  2695	<	    70.000	 	     0.000	  70	  /69;
3256	  2695	 	    28.000	 	     0.000	  74	  06/73;
3256	  2700	 	    30.000	 	     0.000	 351	  04/74-06/78;
3256	  4885	 	    50.000	 	     0.000	 376	  12/79;
3256	  4885	 	    61.000	 	     0.000	 495	  10/83; resolved;
3256	  4885	 	    44.000	 	     0.000	1023	  08/91; resolved;
3256	  4995	 	    43.900	 	     0.000	 798	  10/88;
3256	  5000	 	    46.000	 	     0.000	  68	  04/73;
3256	  5000	 	    46.000	 	     0.000	 155	  04/73;
3256	  5000	 	    54.000	 	     0.000	 170	  74-75;
3256	  6600	<	   100.000	 	     0.000	  70	  /69;
3256	  8085	 	    66.000	 	     0.000	  74	  06/73;
3256	  8100	 	    70.000	 	     0.000	 351	  04/74-06/78;
3256	  8440	 	    61.100	 	     0.000	 956	  05/91;
3256	 10600	 	    95.000	 	     0.000	 351	  72-79;
3256	 10630	 	    85.000	 	     0.000	  66	  02-05/73;
3256	 10630	 	   100.000	 	    81.000	  67	  3 obs. 02-05/73;
3256	 10690	 	    55.000	 	     0.000	  68	  2 obs. 02/73;
3256	 10690	 	    74.000	 	     0.000	 155	  04/73;
3256	 15035	 	   110.000	 	     0.000	 376	  12/79;
3256	 15400	 	   140.000	 	     0.000	 170	  74-75;
3256	 22200	 	   170.000	 	     0.000	 175	  73-74;
3256	 22200	 	   159.000	 	     0.000	 351	  75-79;
3256	 22485	 	   110.000	 	     0.000	 376	  2 obs. 10-12/80;
3256	 36000	 	   285.000	 	   120.000	 999	  3 obs. 03-08/87;
3256	 87750	 	   122.000	 	     0.000	1051	  11/93;
3256	 90000	 	   247.000	 	     0.000	 183	  12/76;
3256	 90000	 	   210.000	 	     0.000	 233	  /75;
3256	 90000	 	   319.000	 	     0.000	 351	  02/75;
3256	 90000	 	   147.000	 	     0.000	 950	  01/87;
3256	150000	 	   177.000	 	     0.000	 879	  06/91;
3256	230000	 	   166.000	 	     0.000	 879	  06/91;
3256	250000	 	   196.000	 	     0.000	 950	  2 obs.12/86-03/89;
3256	264000	 	   150.000	 	     0.000	 862	  11/87;
3256	275000	 	   133.000	 	     0.000	 879	  05/91;
3256	375000	 	   203.000	 	     0.000	 879	  05/91;
3257	  8400	<	     4.200	 	     0.000	 714	  11 obs: 02/87-07/88;
3258	  4885	<	     0.100	 	     0.000	1024	  07/92;
3258	  8440	<	     0.100	 	     0.000	1024	  07/92;
3258	375000	 	   116.000	 	     0.000	1159	  02/92-03/93;
3259	  1415	 	    21.000	<	     5.000	  28	  2 obs. 02-04/71;
3259	  1415	 	    21.000	<	     5.000	  63	  11 obs. 02-10/71;
3259	  1415	 	    21.000	 	     0.000	  78	  04/71;
3259	  1415	 	    23.100	 	     5.000	 189	  4 obs. 02-03/76;
3259	  1420	 	    11.000	 	     0.000	1163	  /91; search for arcminute-scale radio jets;
3259	  2300	 	    14.400	 	    12.500	1384	  07/97-06/98; monitored 45 days;
3259	  2290	 	   123.000	<	    47.000	 549	  2 obs. 06-07/82;
3259	  2695	 	    12.000	 	     0.000	  17	  10/71;
3259	  2695	 	    15.000	<	     5.000	  23	  2 obs. 03/70-06/71;
3259	  2695	 	    28.000	 	    12.000	  62	  32 obs. 02/71-10/72;
3259	  2695	 	    24.000	 	     0.000	 125	  05/75;
3259	  2695	 	    30.000	 	    15.000	 132	  24 obs. 05/75;
3259	  2695	 	    25.000	<	    10.000	 207	  68 obs. 02/71-10/75;
3259	  2695	 	    49.000	 	    46.000	 301	  2 obs. 08/77;
3259	  4885	 	    15.500	 	     0.000	 468	  07/83; VLBI obs.; diameter <0.5 mas;
3259	  4885	 	    12.600	 	     0.000	1163	  /91; search for arcminute-scale radio jets;
3259	  4995	 	    30.000	 	    17.000	 301	  19 obs. 08/77;
3259	  5000	 	    15.000	 	     0.000	 655	  07/83;VLBI for astrometric purpose,J2000;same in (670)
3259	  8085	 	    15.000	 	     0.000	  17	  10/71;
3259	  8085	 	    28.000	 	    12.000	  62	  32 obs. 02/71-10/72;
3259	  8085	 	    44.000	 	    30.000	 125	  2 obs. 05/75;
3259	  8085	 	    45.000	 	    20.000	 132	  23 obs. 05/75;
3259	  8085	 	    40.000	 	    10.000	 207	  65 obs. 06/71-10/75;
3259	  8300	 	    14.000	 	    12.800	1384	  07/97-06/98; monitored 45 days;
3259	  8420	 	    25.000	 	    19.000	 549	  2 obs. 06-07/82;
3259	 10600	 	    50.000	<	    10.000	 203	  13 obs. 02/73-12/74;
3259	 10630	 	    36.000	 	    15.000	  42	  4 obs. 04-07/71;
3259	 10690	 	    43.000	 	     7.000	 301	  119 obs. 08/77;
3259	 15000	 	    12.100	 	     0.000	1320	  03/97; VLBA; resolved below 1 mas;
3259	 15000	 	    18.500	 	     3.000	1384	  07/97-06/98; monitored 45 days;
3259	 15200	 	    30.000	<	     3.000	1321	  10/96-06/98; monitored daily; orbital modulations;
3259	 15200	 	    30.000	<	     2.000	1347	  11/96-10/98; monitored daily;data overlap with (1321);
3259	 31400	<	  2400.000	 	     0.000	 121	  01-02/73;
3259	 85300	<	  1200.000	 	     0.000	 121	  01-02/73;
3259	 89000	 	    15.900	 	     0.000	1384	  08/97;
3259	146000	 	    13.200	 	     5.800	1384	  3 obs. 05/98;
3259	221000	 	    15.600	 	    11.600	1384	  2 obs. 05/98;
3259	250000	 	    10.000	 	     0.000	 950	  12/87-01/88;
3259	250000	<	     9.000	<	    24.000	1398	  6 obs. 03/98;
3260	  8440	<	     0.190	 	     0.000	1039	  06/93-02/94;
3261	  5000	<	     2.100	<	     3.600	 669	  08-09/86-07/87;
3261	 14700	<	    12.000	 	     0.000	 267	  06-08/77;
3262	  4885	<	     0.200	 	     0.000	 358	  07/80;
3263	  8400	<	     0.081	 	     0.000	1100	  06/95;
3264	  1465	<	     0.590	 	     0.000	 600	  05/84;
3265	  2695	<	    50.000	 	     0.000	  51	  /71;
3265	  8085	<	    50.000	 	     0.000	  51	  /71;
3265	 22500	<	    75.000	 	     0.000	 563	  02/78;
3266	  4885	<	     0.150	 	     0.000	 386	  07/80;
3267	  5000	<	    10.000	 	     0.000	 220	  10-11/76;
3268	275000	 	    70.000	 	     0.000	 970	  09/90;
3268	375000	 	   144.000	 	     0.000	 970	  09/90;
3269	  4885	<	     0.200	 	     0.000	 358	  07/80;
3269	250000	<	     5.000	 	     0.000	 950	  03/89;
3270	  8400	<	     9.000	 	     0.000	 822	  86-89;
3271	  2300	 	    19.500	 	     0.000	1051	  07/93;
3271	  4800	 	    24.300	 	     0.000	1051	  07/93;
3271	  5000	 	    28.000	 	     0.000	 194	  04/75;
3271	  5000	 	    30.000	 	     0.000	 244	  /77;
3271	  5000	 	    28.000	 	     0.000	 351	  74-78;
3271	  6200	<	    30.000	 	     0.000	 351	  02/75;
3271	  8650	 	    26.600	 	     0.000	1051	  07/93;
3271	  8900	 	    32.000	 	     0.000	 244	  /77;
3271	  8900	 	    32.000	 	     0.000	 351	  01/75;
3271	 14500	 	    54.000	 	     0.000	 244	  /77;
3271	 14500	 	    51.000	 	     0.000	 351	  /77-78;
3271	230000	 	    65.000	 	     0.000	1051	  05/92;
3272	  2700	<	    15.000	 	     0.000	 351	  04/74-06/78;
3272	  8100	<	    15.000	 	     0.000	 351	  04/74-06/78;
3272	 10600	<	    25.000	 	     0.000	 203	  05/73;
3272	 10600	<	    30.000	 	     0.000	 351	  72-79;
3273	  1400	<	     0.600	 	     0.000	1161	  02/94;
3274	  1490	 	     6.200	<	     0.600	 676	  5 obs. 05-06/88; part of data in (644);
3274	  4885	 	     4.900	 	     0.400	 676	  6 obs. 05-06/88;
3274	  8400	 	     0.700	 	     0.230	 676	  4 obs. 06/88;
3274	 14965	 	     0.700	 	     0.500	 676	  2 obs. 06/88;
3275	  4885	<	     0.300	 	     0.000	 519	  12/83;
3276	 10500	<	    20.000	 	     0.000	 210	  08/75;
3277	 10500	<	    15.000	 	     0.000	 210	  08/75;
3278	  2695	<	    20.000	 	     0.000	  51	  /71;
3278	  4850	<	     0.210	 	     0.000	1278	  09/94;
3278	  4885	<	     0.500	 	     0.000	 308	  07/79;
3278	  8085	<	    20.000	 	     0.000	  51	  /71;
3278	  8450	 	     0.280	<	     0.270	1278	  2 obs. 09-10/94;
3278	 22500	<	    75.000	 	     0.000	 563	  02/78;
3279	  8440	<	     0.138	 	     0.000	1104	  01/93;
3279	 10690	<	     5.000	 	     0.000	 155	  06/73;
3279	 22500	<	    70.000	 	     0.000	 563	  02/78;
3280	275000	<	    50.000	 	     0.000	1006	  05/91;
3280	375000	<	    40.000	 	     0.000	1006	  05/91;
3281	  4850	 	     0.580	 	     0.000	1278	  09/94;
3281	  4885	<	     0.500	 	     0.000	 308	  07/79;
3281	  4885	 	     0.600	 	     0.000	 628	  /?;
3281	  8450	 	     0.700	 	     0.000	1278	  09/94;
3281	 14950	 	     0.700	 	     0.000	1278	  09/94;
3281	 14965	 	     1.000	 	     0.000	 628	  /?;
3281	250000	<	     7.000	 	     0.000	 950	  03/89;
3282	 10600	<	    27.000	 	     0.000	 351	  72-79;
3283	  2380	<	    15.000	 	     0.000	 504	  05/83;
3284	  4860	<	     0.400	 	     0.000	 622	  11/84-02/86;
3284	  4885	<	     0.210	 	     0.000	 738	  02/86;
3284	  8400	<	     5.400	 	     0.000	 617	  15 obs. 81-84;
3285	  2695	<	    10.000	 	     0.000	 212	  /75;
3285	  8085	<	    10.000	 	     0.000	 212	  /75;
3286	  5000	<	     0.860	 	     0.000	1017	  11/90-03/91;
3287	  2695	<	    15.000	 	     0.000	 156	  09/73;
3287	  8085	<	    15.000	 	     0.000	 156	  09/73;
3287	 10600	<	    36.000	 	     0.000	 351	  72-79;
3287	 22500	<	    60.000	 	     0.000	 563	  02/78;
3288	275000	<	    93.000	 	     0.000	 891	  09-10/90;
3288	375000	<	   480.000	 	     0.000	 891	  09-10/90;
3289	   960	<	   410.000	 	     0.000	1392	  03-04/97;
3289	  2300	<	    60.000	 	     0.000	1392	  03-04/97;
3289	  3900	<	    19.000	 	     0.000	1392	  03-04/97;
3289	  4885	<	     0.300	 	     0.000	 386	  01/81;
3289	  7700	<	    40.000	 	     0.000	1392	  03-04/97;
3289	 11200	<	    30.000	 	     0.000	1392	  03-04/97;
3289	 21700	<	   100.000	 	     0.000	1392	  03-04/97;
3289	250000	<	     6.000	 	     0.000	 950	  03/89;
3290	  2695	<	    10.000	 	     0.000	 212	  /75;
3290	  5000	<	     2.400	<	     2.700	 669	  08-09/86-07/87;
3290	  8085	<	    10.000	 	     0.000	 212	  /75;
3290	 10600	<	    54.000	 	     0.000	 351	  72-79;
3291	  8440	<	     0.129	 	     0.000	1104	  01/93;
3291	 10600	<	    25.000	 	     0.000	 203	  05/73;
3291	 10690	<	     5.000	 	     0.000	 155	  06/73;
3292	  2695	<	     6.000	 	     0.000	 212	  /75;
3292	  8085	<	     6.000	 	     0.000	 212	  /75;
3293	 10600	<	    30.000	 	     0.000	 351	  72-79;
3294	 10690	<	     5.000	 	     0.000	 155	  06/73;
3294	 22500	<	    60.000	 	     0.000	 563	  02/78;
3295	275000	<	    63.000	 	     0.000	 970	  09/90;
3295	375000	 	   100.000	 	     0.000	 970	  09/90;
3296	 14965	<	     0.960	 	     0.000	 747	  02/88;
3296	250000	<	    10.000	<	    25.000	1400	  2 obs. 03/91-12/92;
3297	  4885	<	     0.120	 	     0.000	1264	  10/92;
3298	  4885	<	     0.150	 	     0.000	 609	  09/85;
3299	   960	<	   400.000	 	     0.000	1392	  03-04/97;
3299	  1460	 	     0.250	 	     0.000	 707	  07/87;
3299	  2300	<	   120.000	 	     0.000	1392	  03-04/97;
3299	  3900	<	    16.000	 	     0.000	1392	  03-04/97;
3299	  4885	 	     0.950	 	     0.690	 707	  6 obs. 01/80-07/87; part of data in (386);
3299	  7700	<	    50.000	 	     0.000	1392	  03-04/97;
3299	 11200	<	    50.000	 	     0.000	1392	  03-04/97;
3299	 14970	 	     2.100	 	     1.640	 707	  3 obs. 01/81-07/87; part of data in (386);
3299	 21700	<	   140.000	 	     0.000	1392	  03-04/97;
3299	 22490	 	     2.100	 	     0.000	 707	  10/81;
3299	250000	<	    19.000	 	     0.000	 950	  2 obs. 12/86-01/88;
3300	  5000	<	    10.000	 	     0.000	 220	  10-11/76;
3301	  4885	<	     0.250	 	     0.000	 731	  11/87;
3301	 22500	<	    70.000	 	     0.000	 563	  02/78;
3302	   960	<	   390.000	 	     0.000	1392	  03-04/97;
3302	  2300	<	   110.000	 	     0.000	1392	  03-04/97;
3302	  3900	<	    15.000	 	     0.000	1392	  03-04/97;
3302	  4885	 	     0.600	 	     0.000	 386	  01/81;
3302	  7700	<	    30.000	 	     0.000	1392	  03-04/97;
3302	 11200	<	    40.000	 	     0.000	1392	  03-04/97;
3302	 21700	<	   190.000	 	     0.000	1392	  03-04/97;
3302	250000	<	    52.000	 	     0.000	 950	  12/87-01/88;
3303	   610	<	     2.500	 	     0.000	 134	  08-09/73;
3303	   960	<	   470.000	 	     0.000	1392	  03-04/97;
3303	  1415	<	     1.500	 	     0.000	 134	  04-06/71;
3303	  2300	<	   160.000	 	     0.000	1392	  03-04/97;
3303	  2695	<	    50.000	 	     0.000	  51	  /71;
